attempt=2
returncode=0
elapsed_sec=20.80

STDOUT:
Epoch: 156, Loss: 0.0472, Val F1: 0.5714, Val Acc: 0.7143, Val Prec: 0.7273, Val Rec: 0.4706
Epoch: 157, Loss: 0.0315, Val F1: 0.4000, Val Acc: 0.6429, Val Prec: 0.6250, Val Rec: 0.2941
Epoch: 158, Loss: 0.0296, Val F1: 0.4000, Val Acc: 0.6429, Val Prec: 0.6250, Val Rec: 0.2941
Epoch: 159, Loss: 0.0335, Val F1: 0.5185, Val Acc: 0.6905, Val Prec: 0.7000, Val Rec: 0.4118
Epoch: 160, Loss: 0.0274, Val F1: 0.7097, Val Acc: 0.7857, Val Prec: 0.7857, Val Rec: 0.6471
Epoch: 161, Loss: 0.0289, Val F1: 0.6667, Val Acc: 0.7619, Val Prec: 0.7692, Val Rec: 0.5882
Epoch: 162, Loss: 0.0471, Val F1: 0.7097, Val Acc: 0.7857, Val Prec: 0.7857, Val Rec: 0.6471
Epoch: 163, Loss: 0.0255, Val F1: 0.6667, Val Acc: 0.7619, Val Prec: 0.7692, Val Rec: 0.5882
Epoch: 164, Loss: 0.0148, Val F1: 0.5000, Val Acc: 0.6667, Val Prec: 0.6364, Val Rec: 0.4118
Epoch: 165, Loss: 0.0134, Val F1: 0.5185, Val Acc: 0.6905, Val Prec: 0.7000, Val Rec: 0.4118
Epoch: 166, Loss: 0.0359, Val F1: 0.5000, Val Acc: 0.6667, Val Prec: 0.6364, Val Rec: 0.4118
Epoch: 167, Loss: 0.0269, Val F1: 0.5517, Val Acc: 0.6905, Val Prec: 0.6667, Val Rec: 0.4706
Epoch: 168, Loss: 0.0210, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 169, Loss: 0.0299, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 170, Loss: 0.0226, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 171, Loss: 0.0577, Val F1: 0.5000, Val Acc: 0.6667, Val Prec: 0.6364, Val Rec: 0.4118
Epoch: 172, Loss: 0.0244, Val F1: 0.4000, Val Acc: 0.6429, Val Prec: 0.6250, Val Rec: 0.2941
Epoch: 173, Loss: 0.0562, Val F1: 0.5000, Val Acc: 0.6667, Val Prec: 0.6364, Val Rec: 0.4118
Epoch: 174, Loss: 0.0227, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 175, Loss: 0.0199, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 176, Loss: 0.0388, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 177, Loss: 0.0242, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 178, Loss: 0.0150, Val F1: 0.5517, Val Acc: 0.6905, Val Prec: 0.6667, Val Rec: 0.4706
Epoch: 179, Loss: 0.0242, Val F1: 0.5185, Val Acc: 0.6905, Val Prec: 0.7000, Val Rec: 0.4118
Epoch: 180, Loss: 0.0394, Val F1: 0.5517, Val Acc: 0.6905, Val Prec: 0.6667, Val Rec: 0.4706
Epoch: 181, Loss: 0.0390, Val F1: 0.7097, Val Acc: 0.7857, Val Prec: 0.7857, Val Rec: 0.6471
Epoch: 182, Loss: 0.0198, Val F1: 0.7097, Val Acc: 0.7857, Val Prec: 0.7857, Val Rec: 0.6471
